counts,AZ_bottom V,AZ_top V,AY V,AX V,cooling PD V
1577.0,6.0,6.75,-0.5,-0.5,-0.01495361328125
1545.0,6.0,6.75,-0.5,-0.45,-0.0140380859375
1552.0,6.0,6.75,-0.5,-0.4,-0.0128173828125
1567.0,6.0,6.75,-0.5,-0.35,-0.0140380859375
1508.0,6.0,6.75,-0.5,-0.3,-0.013427734375
1568.0,6.0,6.75,-0.5,-0.25,-0.01434326171875
1608.0,6.0,6.75,-0.5,-0.2,-0.0140380859375
1623.0,6.0,6.75,-0.5,-0.15000000000000002,-0.01434326171875
1623.0,6.0,6.75,-0.5,-0.09999999999999998,-0.01495361328125
1707.0,6.0,6.75,-0.5,-0.04999999999999999,-0.01434326171875
1637.0,6.0,6.75,-0.5,0.0,-0.01312255859375
1639.0,6.0,6.75,-0.5,0.050000000000000044,-0.01434326171875
1678.0,6.0,6.75,-0.5,0.09999999999999998,-0.0146484375
1740.0,6.0,6.75,-0.5,0.15000000000000002,-0.0152587890625
1710.0,6.0,6.75,-0.5,0.19999999999999996,-0.01495361328125
1641.0,6.0,6.75,-0.5,0.25,-0.01495361328125
1772.0,6.0,6.75,-0.5,0.30000000000000004,-0.01312255859375
1751.0,6.0,6.75,-0.5,0.35,-0.0140380859375
1747.0,6.0,6.75,-0.5,0.4,-0.01434326171875
1803.0,6.0,6.75,-0.5,0.44999999999999996,-0.01251220703125
1743.0,6.0,6.75,-0.45,-0.5,-0.013427734375
1693.0,6.0,6.75,-0.45,-0.45,-0.0146484375
1680.0,6.0,6.75,-0.45,-0.4,-0.01434326171875
1666.0,6.0,6.75,-0.45,-0.35,-0.01312255859375
1706.0,6.0,6.75,-0.45,-0.3,-0.01251220703125
1640.0,6.0,6.75,-0.45,-0.25,-0.01556396484375
1672.0,6.0,6.75,-0.45,-0.2,-0.01495361328125
1677.0,6.0,6.75,-0.45,-0.15000000000000002,-0.0146484375
1700.0,6.0,6.75,-0.45,-0.09999999999999998,-0.01495361328125
1690.0,6.0,6.75,-0.45,-0.04999999999999999,-0.01312255859375
1655.0,6.0,6.75,-0.45,0.0,-0.015869140625
1582.0,6.0,6.75,-0.45,0.050000000000000044,-0.0152587890625
1583.0,6.0,6.75,-0.45,0.09999999999999998,-0.0140380859375
1685.0,6.0,6.75,-0.45,0.15000000000000002,-0.01434326171875
