counts,AZ_bottom V,AZ_top V,AY V,AX V,cooling PD V
214.0,0.98,-2.4,0.15,0.025,0.0384521484375
181.0,0.98,-2.4,0.15,-0.021249999999999998,0.03814697265625
212.0,0.98,-2.4,0.15,-0.0675,0.0360107421875
197.0,0.98,-2.4,0.15,-0.11375000000000002,0.03692626953125
183.0,0.98,-2.4,0.15,-0.16,0.03997802734375
198.0,0.98,-2.4,0.15,-0.20625000000000002,0.03814697265625
190.0,0.98,-2.4,0.15,-0.2525,0.03814697265625
185.0,0.98,-2.4,0.15,-0.29875,0.04180908203125
177.0,0.98,-2.4,0.15,-0.345,0.0384521484375
183.0,0.98,-2.4,0.15,-0.39125000000000004,0.035400390625
208.0,0.98,-2.4,0.15,-0.4375,0.0384521484375
172.0,0.98,-2.4,0.15,-0.48375,0.0390625
163.0,0.98,-2.4,0.15,-0.53,0.037841796875
179.0,0.98,-2.4,0.15,-0.57625,0.0384521484375
186.0,0.98,-2.4,0.15,-0.6225,0.0390625
157.0,0.98,-2.4,0.15,-0.66875,0.03814697265625
161.0,0.98,-2.4,0.15,-0.715,0.035400390625
163.0,0.98,-2.4,0.15,-0.7612500000000001,0.03814697265625
159.0,0.98,-2.4,0.15,-0.8075000000000001,0.03936767578125
193.0,0.98,-2.4,0.15,-0.8537499999999999,0.03936767578125
140.0,0.98,-2.4,0.1025,0.025,0.0372314453125
151.0,0.98,-2.4,0.1025,-0.021249999999999998,0.040283203125
152.0,0.98,-2.4,0.1025,-0.0675,0.037841796875
175.0,0.98,-2.4,0.1025,-0.11375000000000002,0.0341796875
177.0,0.98,-2.4,0.1025,-0.16,0.03997802734375
184.0,0.98,-2.4,0.1025,-0.20625000000000002,0.037841796875
186.0,0.98,-2.4,0.1025,-0.2525,0.0390625
173.0,0.98,-2.4,0.1025,-0.29875,0.0384521484375
154.0,0.98,-2.4,0.1025,-0.345,0.04058837890625
175.0,0.98,-2.4,0.1025,-0.39125000000000004,0.03936767578125
192.0,0.98,-2.4,0.1025,-0.4375,0.03631591796875
162.0,0.98,-2.4,0.1025,-0.48375,0.0384521484375
185.0,0.98,-2.4,0.1025,-0.53,0.03936767578125
215.0,0.98,-2.4,0.1025,-0.57625,0.0372314453125
212.0,0.98,-2.4,0.1025,-0.6225,0.03936767578125
179.0,0.98,-2.4,0.1025,-0.66875,0.03997802734375
211.0,0.98,-2.4,0.1025,-0.715,0.0384521484375
187.0,0.98,-2.4,0.1025,-0.7612500000000001,0.0360107421875
212.0,0.98,-2.4,0.1025,-0.8075000000000001,0.037841796875
208.0,0.98,-2.4,0.1025,-0.8537499999999999,0.03814697265625
185.0,0.98,-2.4,0.05499999999999999,0.025,0.03753662109375
218.0,0.98,-2.4,0.05499999999999999,-0.021249999999999998,0.0384521484375
215.0,0.98,-2.4,0.05499999999999999,-0.0675,0.04180908203125
245.0,0.98,-2.4,0.05499999999999999,-0.11375000000000002,0.037841796875
184.0,0.98,-2.4,0.05499999999999999,-0.16,0.03570556640625
198.0,0.98,-2.4,0.05499999999999999,-0.20625000000000002,0.0384521484375
187.0,0.98,-2.4,0.05499999999999999,-0.2525,0.03936767578125
191.0,0.98,-2.4,0.05499999999999999,-0.29875,0.0384521484375
168.0,0.98,-2.4,0.05499999999999999,-0.345,0.03875732421875
167.0,0.98,-2.4,0.05499999999999999,-0.39125000000000004,0.04058837890625
159.0,0.98,-2.4,0.05499999999999999,-0.4375,0.0384521484375
198.0,0.98,-2.4,0.05499999999999999,-0.48375,0.0347900390625
189.0,0.98,-2.4,0.05499999999999999,-0.53,0.03814697265625
194.0,0.98,-2.4,0.05499999999999999,-0.57625,0.04119873046875
177.0,0.98,-2.4,0.05499999999999999,-0.6225,0.0390625
172.0,0.98,-2.4,0.05499999999999999,-0.66875,0.037841796875
166.0,0.98,-2.4,0.05499999999999999,-0.715,0.0396728515625
199.0,0.98,-2.4,0.05499999999999999,-0.7612500000000001,0.0384521484375
198.0,0.98,-2.4,0.05499999999999999,-0.8075000000000001,0.03662109375
199.0,0.98,-2.4,0.05499999999999999,-0.8537499999999999,0.03814697265625
217.0,0.98,-2.4,0.007499999999999979,0.025,0.0421142578125
164.0,0.98,-2.4,0.007499999999999979,-0.021249999999999998,0.03814697265625
177.0,0.98,-2.4,0.007499999999999979,-0.0675,0.03692626953125
162.0,0.98,-2.4,0.007499999999999979,-0.11375000000000002,0.0372314453125
159.0,0.98,-2.4,0.007499999999999979,-0.16,0.0384521484375
153.0,0.98,-2.4,0.007499999999999979,-0.20625000000000002,0.03662109375
139.0,0.98,-2.4,0.007499999999999979,-0.2525,0.03936767578125
162.0,0.98,-2.4,0.007499999999999979,-0.29875,0.040283203125
180.0,0.98,-2.4,0.007499999999999979,-0.345,0.03875732421875
189.0,0.98,-2.4,0.007499999999999979,-0.39125000000000004,0.0335693359375
181.0,0.98,-2.4,0.007499999999999979,-0.4375,0.03753662109375
165.0,0.98,-2.4,0.007499999999999979,-0.48375,0.0408935546875
174.0,0.98,-2.4,0.007499999999999979,-0.53,0.03814697265625
168.0,0.98,-2.4,0.007499999999999979,-0.57625,0.0396728515625
133.0,0.98,-2.4,0.007499999999999979,-0.6225,0.0390625
160.0,0.98,-2.4,0.007499999999999979,-0.66875,0.037841796875
151.0,0.98,-2.4,0.007499999999999979,-0.715,0.03570556640625
160.0,0.98,-2.4,0.007499999999999979,-0.7612500000000001,0.0390625
148.0,0.98,-2.4,0.007499999999999979,-0.8075000000000001,0.042724609375
179.0,0.98,-2.4,0.007499999999999979,-0.8537499999999999,0.0390625
170.0,0.98,-2.4,-0.04000000000000001,0.025,0.03692626953125
163.0,0.98,-2.4,-0.04000000000000001,-0.021249999999999998,0.03936767578125
156.0,0.98,-2.4,-0.04000000000000001,-0.0675,0.037841796875
154.0,0.98,-2.4,-0.04000000000000001,-0.11375000000000002,0.03662109375
155.0,0.98,-2.4,-0.04000000000000001,-0.16,0.0372314453125
153.0,0.98,-2.4,-0.04000000000000001,-0.20625000000000002,0.03936767578125
166.0,0.98,-2.4,-0.04000000000000001,-0.2525,0.03814697265625
181.0,0.98,-2.4,-0.04000000000000001,-0.29875,0.03570556640625
177.0,0.98,-2.4,-0.04000000000000001,-0.345,0.037841796875
171.0,0.98,-2.4,-0.04000000000000001,-0.39125000000000004,0.0396728515625
170.0,0.98,-2.4,-0.04000000000000001,-0.4375,0.03753662109375
215.0,0.98,-2.4,-0.04000000000000001,-0.48375,0.0390625
224.0,0.98,-2.4,-0.04000000000000001,-0.53,0.03997802734375
207.0,0.98,-2.4,-0.04000000000000001,-0.57625,0.0384521484375
191.0,0.98,-2.4,-0.04000000000000001,-0.6225,0.035400390625
205.0,0.98,-2.4,-0.04000000000000001,-0.66875,0.0384521484375
212.0,0.98,-2.4,-0.04000000000000001,-0.715,0.04119873046875
242.0,0.98,-2.4,-0.04000000000000001,-0.7612500000000001,0.03814697265625
207.0,0.98,-2.4,-0.04000000000000001,-0.8075000000000001,0.037841796875
194.0,0.98,-2.4,-0.04000000000000001,-0.8537499999999999,0.0390625
200.0,0.98,-2.4,-0.0875,0.025,0.0396728515625
185.0,0.98,-2.4,-0.0875,-0.021249999999999998,0.0360107421875
181.0,0.98,-2.4,-0.0875,-0.0675,0.0390625
190.0,0.98,-2.4,-0.0875,-0.11375000000000002,0.040283203125
240.0,0.98,-2.4,-0.0875,-0.16,0.0384521484375
193.0,0.98,-2.4,-0.0875,-0.20625000000000002,0.0347900390625
173.0,0.98,-2.4,-0.0875,-0.2525,0.0372314453125
151.0,0.98,-2.4,-0.0875,-0.29875,0.0372314453125
185.0,0.98,-2.4,-0.0875,-0.345,0.0372314453125
151.0,0.98,-2.4,-0.0875,-0.39125000000000004,0.0372314453125
171.0,0.98,-2.4,-0.0875,-0.4375,0.04180908203125
166.0,0.98,-2.4,-0.0875,-0.48375,0.03662109375
184.0,0.98,-2.4,-0.0875,-0.53,0.035400390625
164.0,0.98,-2.4,-0.0875,-0.57625,0.03875732421875
218.0,0.98,-2.4,-0.0875,-0.6225,0.0408935546875
174.0,0.98,-2.4,-0.0875,-0.66875,0.0384521484375
147.0,0.98,-2.4,-0.0875,-0.715,0.0372314453125
166.0,0.98,-2.4,-0.0875,-0.7612500000000001,0.03875732421875
170.0,0.98,-2.4,-0.0875,-0.8075000000000001,0.03814697265625
175.0,0.98,-2.4,-0.0875,-0.8537499999999999,0.03631591796875
149.0,0.98,-2.4,-0.13500000000000004,0.025,0.03875732421875
172.0,0.98,-2.4,-0.13500000000000004,-0.021249999999999998,0.0408935546875
165.0,0.98,-2.4,-0.13500000000000004,-0.0675,0.03814697265625
168.0,0.98,-2.4,-0.13500000000000004,-0.11375000000000002,0.03662109375
172.0,0.98,-2.4,-0.13500000000000004,-0.16,0.03875732421875
156.0,0.98,-2.4,-0.13500000000000004,-0.20625000000000002,0.03875732421875
170.0,0.98,-2.4,-0.13500000000000004,-0.2525,0.03662109375
166.0,0.98,-2.4,-0.13500000000000004,-0.29875,0.03814697265625
146.0,0.98,-2.4,-0.13500000000000004,-0.345,0.040283203125
156.0,0.98,-2.4,-0.13500000000000004,-0.39125000000000004,0.0390625
189.0,0.98,-2.4,-0.13500000000000004,-0.4375,0.03509521484375
164.0,0.98,-2.4,-0.13500000000000004,-0.48375,0.0384521484375
198.0,0.98,-2.4,-0.13500000000000004,-0.53,0.0384521484375
194.0,0.98,-2.4,-0.13500000000000004,-0.57625,0.03753662109375
168.0,0.98,-2.4,-0.13500000000000004,-0.6225,0.0396728515625
173.0,0.98,-2.4,-0.13500000000000004,-0.66875,0.03936767578125
167.0,0.98,-2.4,-0.13500000000000004,-0.715,0.037841796875
186.0,0.98,-2.4,-0.13500000000000004,-0.7612500000000001,0.03570556640625
215.0,0.98,-2.4,-0.13500000000000004,-0.8075000000000001,0.0372314453125
160.0,0.98,-2.4,-0.13500000000000004,-0.8537499999999999,0.04058837890625
164.0,0.98,-2.4,-0.18250000000000002,0.025,0.0390625
174.0,0.98,-2.4,-0.18250000000000002,-0.021249999999999998,0.037841796875
182.0,0.98,-2.4,-0.18250000000000002,-0.0675,0.040283203125
168.0,0.98,-2.4,-0.18250000000000002,-0.11375000000000002,0.03814697265625
203.0,0.98,-2.4,-0.18250000000000002,-0.16,0.03662109375
199.0,0.98,-2.4,-0.18250000000000002,-0.20625000000000002,0.03814697265625
180.0,0.98,-2.4,-0.18250000000000002,-0.2525,0.04119873046875
199.0,0.98,-2.4,-0.18250000000000002,-0.29875,0.03936767578125
212.0,0.98,-2.4,-0.18250000000000002,-0.345,0.0384521484375
175.0,0.98,-2.4,-0.18250000000000002,-0.39125000000000004,0.040283203125
181.0,0.98,-2.4,-0.18250000000000002,-0.4375,0.0384521484375
194.0,0.98,-2.4,-0.18250000000000002,-0.48375,0.03631591796875
184.0,0.98,-2.4,-0.18250000000000002,-0.53,0.03814697265625
201.0,0.98,-2.4,-0.18250000000000002,-0.57625,0.04058837890625
202.0,0.98,-2.4,-0.18250000000000002,-0.6225,0.0384521484375
228.0,0.98,-2.4,-0.18250000000000002,-0.66875,0.037841796875
207.0,0.98,-2.4,-0.18250000000000002,-0.715,0.03936767578125
202.0,0.98,-2.4,-0.18250000000000002,-0.7612500000000001,0.0390625
208.0,0.98,-2.4,-0.18250000000000002,-0.8075000000000001,0.03570556640625
197.0,0.98,-2.4,-0.18250000000000002,-0.8537499999999999,0.03814697265625
243.0,0.98,-2.4,-0.23,0.025,0.0384521484375
222.0,0.98,-2.4,-0.23,-0.021249999999999998,0.0360107421875
194.0,0.98,-2.4,-0.23,-0.0675,0.037841796875
192.0,0.98,-2.4,-0.23,-0.11375000000000002,0.04058837890625
172.0,0.98,-2.4,-0.23,-0.16,0.03814697265625
196.0,0.98,-2.4,-0.23,-0.20625000000000002,0.0360107421875
176.0,0.98,-2.4,-0.23,-0.2525,0.03875732421875
199.0,0.98,-2.4,-0.23,-0.29875,0.037841796875
176.0,0.98,-2.4,-0.23,-0.345,0.03662109375
193.0,0.98,-2.4,-0.23,-0.39125000000000004,0.037841796875
190.0,0.98,-2.4,-0.23,-0.4375,0.04119873046875
154.0,0.98,-2.4,-0.23,-0.48375,0.0384521484375
156.0,0.98,-2.4,-0.23,-0.53,0.03753662109375
151.0,0.98,-2.4,-0.23,-0.57625,0.03875732421875
164.0,0.98,-2.4,-0.23,-0.6225,0.0396728515625
160.0,0.98,-2.4,-0.23,-0.66875,0.035400390625
163.0,0.98,-2.4,-0.23,-0.715,0.03753662109375
164.0,0.98,-2.4,-0.23,-0.7612500000000001,0.0408935546875
152.0,0.98,-2.4,-0.23,-0.8075000000000001,0.03875732421875
174.0,0.98,-2.4,-0.23,-0.8537499999999999,0.0384521484375
176.0,0.98,-2.4,-0.2775000000000001,0.025,0.04119873046875
192.0,0.98,-2.4,-0.2775000000000001,-0.021249999999999998,0.0384521484375
164.0,0.98,-2.4,-0.2775000000000001,-0.0675,0.0347900390625
157.0,0.98,-2.4,-0.2775000000000001,-0.11375000000000002,0.037841796875
170.0,0.98,-2.4,-0.2775000000000001,-0.16,0.0384521484375
194.0,0.98,-2.4,-0.2775000000000001,-0.20625000000000002,0.03692626953125
184.0,0.98,-2.4,-0.2775000000000001,-0.2525,0.03662109375
180.0,0.98,-2.4,-0.2775000000000001,-0.29875,0.0396728515625
181.0,0.98,-2.4,-0.2775000000000001,-0.345,0.03875732421875
202.0,0.98,-2.4,-0.2775000000000001,-0.39125000000000004,0.0347900390625
207.0,0.98,-2.4,-0.2775000000000001,-0.4375,0.0390625
187.0,0.98,-2.4,-0.2775000000000001,-0.48375,0.0372314453125
161.0,0.98,-2.4,-0.2775000000000001,-0.53,0.03631591796875
203.0,0.98,-2.4,-0.2775000000000001,-0.57625,0.03936767578125
180.0,0.98,-2.4,-0.2775000000000001,-0.6225,0.04180908203125
174.0,0.98,-2.4,-0.2775000000000001,-0.66875,0.0384521484375
204.0,0.98,-2.4,-0.2775000000000001,-0.715,0.037841796875
215.0,0.98,-2.4,-0.2775000000000001,-0.7612500000000001,0.037841796875
221.0,0.98,-2.4,-0.2775000000000001,-0.8075000000000001,0.03814697265625
210.0,0.98,-2.4,-0.2775000000000001,-0.8537499999999999,0.03570556640625
200.0,0.98,-2.4,-0.32499999999999996,0.025,0.03936767578125
191.0,0.98,-2.4,-0.32499999999999996,-0.021249999999999998,0.040283203125
211.0,0.98,-2.4,-0.32499999999999996,-0.0675,0.037841796875
204.0,0.98,-2.4,-0.32499999999999996,-0.11375000000000002,0.03875732421875
189.0,0.98,-2.4,-0.32499999999999996,-0.16,0.0396728515625
195.0,0.98,-2.4,-0.32499999999999996,-0.20625000000000002,0.0390625
143.0,0.98,-2.4,-0.32499999999999996,-0.2525,0.035400390625
219.0,0.98,-2.4,-0.32499999999999996,-0.29875,0.0390625
190.0,0.98,-2.4,-0.32499999999999996,-0.345,0.03814697265625
202.0,0.98,-2.4,-0.32499999999999996,-0.39125000000000004,0.03814697265625
198.0,0.98,-2.4,-0.32499999999999996,-0.4375,0.03814697265625
228.0,0.98,-2.4,-0.32499999999999996,-0.48375,0.040283203125
177.0,0.98,-2.4,-0.32499999999999996,-0.53,0.03875732421875
198.0,0.98,-2.4,-0.32499999999999996,-0.57625,0.0360107421875
