P0,P1,P2,P3,P4
2.0556640625,2.00240478515625,2.76573486328125,2.179888916015625,2.868963623046875
2.057598876953125,2.000054931640625,2.762237548828125,2.184698486328125,2.88756103515625
2.056060791015625,2.004193115234375,2.761126708984375,2.180072021484375,2.876947021484375
2.05552978515625,1.999212646484375,2.763482666015625,2.178363037109375,2.88253173828125
2.055767822265625,1.9980712890625,2.76373291015625,2.1814453125,2.87979736328125
2.05567626953125,2.000372314453125,2.75880126953125,2.18023681640625,2.87781982421875
2.05675048828125,1.99796142578125,2.770623779296875,2.18282470703125,2.87626953125
2.05704345703125,2.000384521484375,2.768109130859375,2.18909912109375,2.8819091796875
2.057275390625,2.00064697265625,2.7596435546875,2.185272216796875,2.882708740234375
2.057659912109375,2.00133056640625,2.7648681640625,2.18782958984375,2.88382568359375
2.059832763671875,2.001690673828125,2.770916748046875,2.188897705078125,2.88323974609375
2.062994384765625,2.006475830078125,2.770947265625,2.19439697265625,2.8919189453125
2.06297607421875,2.008111572265625,2.77255859375,2.192620849609375,2.88726806640625
2.061572265625,2.006402587890625,2.774554443359375,2.194256591796875,2.887005615234375
2.060321044921875,2.003656005859375,2.767431640625,2.1880615234375,2.8898193359375
2.059619140625,2.001611328125,2.76995849609375,2.187823486328125,2.885455322265625
2.059906005859375,2.0022216796875,2.76588134765625,2.189764404296875,2.886077880859375
2.060162353515625,2.0030029296875,2.7676513671875,2.1895751953125,2.887310791015625
2.0592529296875,2.00198974609375,2.769232177734375,2.189459228515625,2.8861083984375
2.058746337890625,2.00303955078125,2.76220703125,2.18780517578125,2.88426513671875
2.0584716796875,2.002008056640625,2.764794921875,2.189453125,2.877972412109375
2.058392333984375,2.004058837890625,2.763055419921875,2.186956787109375,2.8831298828125
2.061456298828125,2.00511474609375,2.770977783203125,2.189300537109375,2.8883544921875
2.063897705078125,2.006292724609375,2.7743408203125,2.193035888671875,2.89417724609375
2.06484375,2.004974365234375,2.77615966796875,2.19146728515625,2.89788818359375
2.066473388671875,2.008575439453125,2.7780029296875,2.199444580078125,2.897076416015625
2.067730712890625,2.011474609375,2.781414794921875,2.198834228515625,2.897076416015625
2.066058349609375,2.00592041015625,2.773779296875,2.193170166015625,2.89869384765625
2.064178466796875,2.0050537109375,2.775958251953125,2.19102783203125,2.886614990234375
2.062493896484375,2.005963134765625,2.770697021484375,2.191168212890625,2.883856201171875
2.060400390625,2.003564453125,2.77333984375,2.187933349609375,2.8818603515625
2.05828857421875,2.001312255859375,2.76859130859375,2.18590087890625,2.8783447265625
2.05780029296875,2.001568603515625,2.765447998046875,2.18641357421875,2.875909423828125
2.057470703125,2.00020751953125,2.762548828125,2.18587646484375,2.880413818359375
2.056396484375,2.00330810546875,2.76148681640625,2.18826904296875,2.884844970703125
2.058526611328125,2.002264404296875,2.764111328125,2.184735107421875,2.884039306640625
2.059832763671875,2.003533935546875,2.76431884765625,2.1866455078125,2.885345458984375
2.05968017578125,2.004736328125,2.767724609375,2.1866943359375,2.885894775390625
2.059759521484375,2.006488037109375,2.767535400390625,2.187152099609375,2.88448486328125
2.060223388671875,2.0029052734375,2.766815185546875,2.185589599609375,2.886114501953125
2.05894775390625,2.003240966796875,2.76990966796875,2.184527587890625,2.87763671875
2.059405517578125,2.005584716796875,2.764532470703125,2.19207763671875,2.886346435546875
2.06143798828125,2.0039794921875,2.764813232421875,2.191015625,2.89296875
2.06016845703125,2.005322265625,2.76485595703125,2.193963623046875,2.89114990234375
2.058868408203125,2.005316162109375,2.767340087890625,2.188671875,2.884210205078125
2.05740966796875,2.00479736328125,2.757244873046875,2.190728759765625,2.8870849609375
2.056744384765625,2.003179931640625,2.7613037109375,2.18419189453125,2.882720947265625
2.05689697265625,2.0041259765625,2.763360595703125,2.1863525390625,2.88187255859375
2.05667724609375,2.00146484375,2.759478759765625,2.18251953125,2.885809326171875
2.0573974609375,2.004949951171875,2.76015625,2.1810546875,2.886090087890625
2.058837890625,2.00194091796875,2.7622802734375,2.18045654296875,2.88763427734375
2.059332275390625,2.00474853515625,2.767510986328125,2.1846923828125,2.887713623046875
2.0604248046875,2.006072998046875,2.7722900390625,2.18214111328125,2.88455810546875
2.06046142578125,2.0073486328125,2.76944580078125,2.186785888671875,2.890863037109375
2.05989990234375,2.00296630859375,2.76639404296875,2.187493896484375,2.8944091796875
2.060687255859375,2.00726318359375,2.76484375,2.189971923828125,2.887762451171875
2.060638427734375,2.006781005859375,2.76954345703125,2.1899169921875,2.883734130859375
2.060467529296875,2.0053955078125,2.769561767578125,2.190618896484375,2.8869140625
2.05972900390625,2.00548095703125,2.766021728515625,2.18900146484375,2.88875732421875
2.0600830078125,2.00872802734375,2.76549072265625,2.191864013671875,2.89034423828125
2.0597412109375,2.0106689453125,2.7661865234375,2.18968505859375,2.888665771484375
2.060528564453125,2.00792236328125,2.762799072265625,2.195428466796875,2.892364501953125
2.06109619140625,2.0095703125,2.765704345703125,2.18720703125,2.888201904296875
2.060626220703125,2.011724853515625,2.77294921875,2.190283203125,2.88720703125
2.06075439453125,2.009912109375,2.76494140625,2.189764404296875,2.894500732421875
2.058984375,2.00628662109375,2.765289306640625,2.186407470703125,2.89373779296875
2.058306884765625,2.0056884765625,2.76552734375,2.183416748046875,2.88087158203125
2.059173583984375,2.00411376953125,2.76700439453125,2.19068603515625,2.8905029296875
2.059722900390625,2.00433349609375,2.766546630859375,2.188055419921875,2.88492431640625
2.059698486328125,2.00712890625,2.7677734375,2.192193603515625,2.8970458984375
2.061492919921875,2.011163330078125,2.767626953125,2.1939208984375,2.893975830078125
2.061126708984375,2.0109375,2.768798828125,2.192578125,2.890667724609375
2.0614990234375,2.009918212890625,2.77071533203125,2.193499755859375,2.88631591796875
2.062274169921875,2.006787109375,2.76552734375,2.19627685546875,2.892626953125
2.06031494140625,2.009893798828125,2.7700439453125,2.1940673828125,2.887335205078125
2.060650634765625,2.010516357421875,2.761700439453125,2.18646240234375,2.8938232421875
2.060791015625,2.00733642578125,2.766485595703125,2.192279052734375,2.887725830078125
2.06285400390625,2.010650634765625,2.77679443359375,2.19188232421875,2.890948486328125
2.0629150390625,2.011181640625,2.776580810546875,2.191339111328125,2.8912841796875
2.062774658203125,2.011199951171875,2.77449951171875,2.1936767578125,2.892474365234375
2.063519287109375,2.008245849609375,2.7697265625,2.19718017578125,2.897821044921875
2.06295166015625,2.011688232421875,2.773321533203125,2.194232177734375,2.8915771484375
2.062261962890625,2.01104736328125,2.769842529296875,2.201611328125,2.890380859375
2.061517333984375,2.010113525390625,2.7700927734375,2.197412109375,2.899114990234375
2.061614990234375,2.009588623046875,2.77379150390625,2.200244140625,2.891400146484375
2.063018798828125,2.01290283203125,2.771856689453125,2.19920654296875,2.89449462890625
2.062933349609375,2.00859375,2.76690673828125,2.19410400390625,2.897259521484375
2.064208984375,2.013482666015625,2.77423095703125,2.198345947265625,2.892730712890625
2.067120361328125,2.015472412109375,2.777606201171875,2.199896240234375,2.898773193359375
2.068939208984375,2.018939208984375,2.77979736328125,2.20035400390625,2.90045166015625
2.068865966796875,2.011181640625,2.776275634765625,2.200042724609375,2.900628662109375
2.06744384765625,2.013812255859375,2.777703857421875,2.19793701171875,2.895477294921875
2.0651611328125,2.01407470703125,2.7751953125,2.1976318359375,2.9034912109375
2.062896728515625,2.011248779296875,2.768756103515625,2.198583984375,2.8958251953125
2.063348388671875,2.012396240234375,2.770452880859375,2.197406005859375,2.89296875
2.064117431640625,2.011737060546875,2.770794677734375,2.187115478515625,2.900140380859375
2.063385009765625,2.013153076171875,2.76756591796875,2.193499755859375,2.897625732421875
2.06160888671875,2.009783935546875,2.768133544921875,2.187744140625,2.8881103515625
2.0618896484375,2.013287353515625,2.76485595703125,2.19063720703125,2.88935546875
2.060748291015625,2.011895751953125,2.76661376953125,2.1897705078125,2.89195556640625
2.05894775390625,2.008416748046875,2.766064453125,2.194158935546875,2.88580322265625
2.058251953125,2.00692138671875,2.7686279296875,2.19151611328125,2.8850341796875
2.05799560546875,2.00701904296875,2.770867919921875,2.195867919921875,2.885870361328125
2.057647705078125,2.006646728515625,2.771502685546875,2.19354248046875,2.888336181640625
2.05635986328125,2.002960205078125,2.769183349609375,2.197467041015625,2.88529052734375
2.05958251953125,2.007080078125,2.76571044921875,2.197454833984375,2.89365234375
2.065423583984375,2.01151123046875,2.77802734375,2.19385986328125,2.897235107421875
2.071453857421875,2.018695068359375,2.785430908203125,2.209381103515625,2.907855224609375
2.072833251953125,2.019091796875,2.788934326171875,2.20997314453125,2.905596923828125
2.071600341796875,2.0211669921875,2.78050537109375,2.20865478515625,2.90069580078125
2.070013427734375,2.01739501953125,2.780841064453125,2.2046630859375,2.90384521484375
2.06729736328125,2.01497802734375,2.77674560546875,2.199395751953125,2.898431396484375
2.066748046875,2.014544677734375,2.78236083984375,2.201214599609375,2.896539306640625
2.06593017578125,2.014013671875,2.774847412109375,2.1998779296875,2.90501708984375
2.064080810546875,2.010882568359375,2.77669677734375,2.198333740234375,2.8959228515625
2.062811279296875,2.00823974609375,2.7724609375,2.191912841796875,2.89552001953125
2.062689208984375,2.00986328125,2.77412109375,2.1927490234375,2.892987060546875
2.062213134765625,2.011419677734375,2.77010498046875,2.19822998046875,2.893994140625
2.061407470703125,2.009552001953125,2.76728515625,2.19483642578125,2.891607666015625
2.059197998046875,2.00592041015625,2.771533203125,2.189837646484375,2.881683349609375
2.05771484375,2.0051025390625,2.761773681640625,2.1884033203125,2.886474609375
2.0571044921875,2.00643310546875,2.765911865234375,2.191632080078125,2.8818603515625
2.05625,2.001629638671875,2.761688232421875,2.1943603515625,2.8799072265625
2.055572509765625,2.000506591796875,2.764324951171875,2.1876220703125,2.881683349609375
2.055206298828125,2.0021728515625,2.762738037109375,2.18709716796875,2.8799560546875
2.056024169921875,2.0026123046875,2.766009521484375,2.18699951171875,2.879608154296875
2.05594482421875,1.999505615234375,2.765777587890625,2.18834228515625,2.879754638671875
2.0563720703125,2.003802490234375,2.76416015625,2.19171142578125,2.87733154296875
2.056829833984375,2.003173828125,2.76171875,2.192626953125,2.881622314453125
2.058349609375,2.002825927734375,2.767529296875,2.1908203125,2.885504150390625
2.06082763671875,2.006353759765625,2.77611083984375,2.197747802734375,2.882958984375
2.061859130859375,2.00750732421875,2.776251220703125,2.197198486328125,2.88487548828125
2.06351318359375,2.00743408203125,2.775823974609375,2.198309326171875,2.89061279296875
2.06376953125,2.008245849609375,2.77469482421875,2.19544677734375,2.888116455078125
2.064361572265625,2.0103271484375,2.779864501953125,2.196923828125,2.88704833984375
2.06395263671875,2.008563232421875,2.778369140625,2.192462158203125,2.888427734375
2.064630126953125,2.00889892578125,2.777813720703125,2.1974853515625,2.887982177734375
2.063360595703125,2.008984375,2.776800537109375,2.190728759765625,2.88885498046875
2.06190185546875,2.005279541015625,2.77099609375,2.19937744140625,2.88973388671875
2.06207275390625,2.005230712890625,2.7728515625,2.1975341796875,2.888653564453125
2.06346435546875,2.006591796875,2.776544189453125,2.194232177734375,2.88829345703125
2.0646728515625,2.012200927734375,2.77618408203125,2.198736572265625,2.896636962890625
2.066064453125,2.01180419921875,2.774249267578125,2.201123046875,2.89384765625
2.065692138671875,2.00970458984375,2.775274658203125,2.195489501953125,2.89847412109375
2.064630126953125,2.01185302734375,2.771331787109375,2.197039794921875,2.896343994140625
2.06380615234375,2.009478759765625,2.77427978515625,2.19791259765625,2.892535400390625
2.063677978515625,2.01009521484375,2.770428466796875,2.2005859375,2.900299072265625
2.06578369140625,2.013482666015625,2.777069091796875,2.19774169921875,2.889813232421875
2.066094970703125,2.012677001953125,2.775128173828125,2.197821044921875,2.90601806640625
2.066741943359375,2.0152587890625,2.778643798828125,2.201824951171875,2.8922119140625
2.067120361328125,2.015936279296875,2.776123046875,2.206640625,2.895611572265625
2.067437744140625,2.015185546875,2.780499267578125,2.198870849609375,2.88924560546875
2.066693115234375,2.016265869140625,2.781781005859375,2.2044189453125,2.89722900390625
2.066180419921875,2.015057373046875,2.77523193359375,2.196343994140625,2.895758056640625
2.068292236328125,2.01724853515625,2.776007080078125,2.2043701171875,2.8977294921875
2.07076416015625,2.01781005859375,2.784747314453125,2.207940673828125,2.899920654296875
2.07391357421875,2.0237060546875,2.78980712890625,2.2060546875,2.9037841796875
2.077532958984375,2.025958251953125,2.788018798828125,2.211151123046875,2.90926513671875
2.0799072265625,2.027838134765625,2.801141357421875,2.209808349609375,2.907476806640625
2.0838134765625,2.029730224609375,2.801214599609375,2.213458251953125,2.922198486328125
2.084234619140625,2.032537841796875,2.806231689453125,2.22235107421875,2.920709228515625
2.085369873046875,2.032958984375,2.797991943359375,2.22406005859375,2.917144775390625
2.0852294921875,2.02967529296875,2.8045654296875,2.220263671875,2.912384033203125
2.085235595703125,2.033831787109375,2.80528564453125,2.217510986328125,2.917041015625
2.084228515625,2.03260498046875,2.801715087890625,2.22041015625,2.9189697265625
2.0823486328125,2.028082275390625,2.801019287109375,2.21275634765625,2.91566162109375
2.0783203125,2.026849365234375,2.797259521484375,2.211468505859375,2.908538818359375
2.075836181640625,2.0199951171875,2.786724853515625,2.21651611328125,2.909906005859375
2.0739501953125,2.02294921875,2.78472900390625,2.214910888671875,2.897857666015625
2.0734130859375,2.017449951171875,2.78348388671875,2.209619140625,2.8957763671875
2.07276611328125,2.0174560546875,2.78780517578125,2.214447021484375,2.8981689453125
2.07218017578125,2.017156982421875,2.791253662109375,2.211456298828125,2.88857421875
2.073565673828125,2.0181640625,2.789111328125,2.206671142578125,2.8914794921875
2.072528076171875,2.01993408203125,2.79173583984375,2.205511474609375,2.892449951171875
2.07177734375,2.016156005859375,2.794647216796875,2.20831298828125,2.892120361328125
2.0716064453125,2.016180419921875,2.78721923828125,2.205938720703125,2.89234619140625
2.073675537109375,2.0178955078125,2.791314697265625,2.211236572265625,2.8983642578125
2.076898193359375,2.02288818359375,2.80343017578125,2.208050537109375,2.897900390625
2.0791015625,2.02216796875,2.799346923828125,2.21488037109375,2.9034423828125
2.079656982421875,2.0243896484375,2.80106201171875,2.212738037109375,2.9042236328125
2.07960205078125,2.026812744140625,2.79945068359375,2.219744873046875,2.90230712890625
2.07777099609375,2.022705078125,2.796612548828125,2.21424560546875,2.896160888671875
2.077215576171875,2.021917724609375,2.795477294921875,2.21390380859375,2.88690185546875
2.07509765625,2.018505859375,2.799444580078125,2.207269287109375,2.885321044921875
2.072991943359375,2.01748046875,2.7915283203125,2.211895751953125,2.891253662109375
2.072052001953125,2.016839599609375,2.7895751953125,2.20357666015625,2.8868408203125
2.07000732421875,2.0139892578125,2.79395751953125,2.207061767578125,2.88399658203125
2.068157958984375,2.013348388671875,2.7883544921875,2.20350341796875,2.88319091796875
2.066839599609375,2.008056640625,2.784759521484375,2.20201416015625,2.888519287109375
2.068304443359375,2.011431884765625,2.78802490234375,2.205902099609375,2.88248291015625
2.071075439453125,2.01318359375,2.79600830078125,2.20828857421875,2.88526611328125
2.073394775390625,2.017730712890625,2.799432373046875,2.212640380859375,2.891912841796875
2.072955322265625,2.01492919921875,2.794598388671875,2.213226318359375,2.887298583984375
2.0717041015625,2.01297607421875,2.792681884765625,2.20875244140625,2.885675048828125
2.06915283203125,2.012213134765625,2.7880615234375,2.200579833984375,2.88154296875
2.0666259765625,2.013421630859375,2.78670654296875,2.20628662109375,2.88177490234375
2.066546630859375,2.0082275390625,2.786334228515625,2.20308837890625,2.8802490234375
2.06661376953125,2.011602783203125,2.781939697265625,2.209039306640625,2.880047607421875
2.06810302734375,2.01181640625,2.78553466796875,2.20010986328125,2.8881103515625
2.068353271484375,2.013702392578125,2.7836181640625,2.20361328125,2.891046142578125
2.070330810546875,2.0128173828125,2.788238525390625,2.207293701171875,2.886163330078125
2.06903076171875,2.01197509765625,2.782037353515625,2.204754638671875,2.8912841796875
2.067010498046875,2.008526611328125,2.780706787109375,2.204754638671875,2.884710693359375
2.0659423828125,2.008795166015625,2.780926513671875,2.20126953125,2.88433837890625
2.065081787109375,2.00877685546875,2.781768798828125,2.20296630859375,2.881884765625
2.064617919921875,2.00848388671875,2.781756591796875,2.2051513671875,2.875958251953125
2.063580322265625,2.008245849609375,2.784912109375,2.19578857421875,2.8771240234375
2.0642333984375,2.00458984375,2.78243408203125,2.199420166015625,2.8787353515625
2.065191650390625,2.01048583984375,2.78553466796875,2.201666259765625,2.873004150390625
2.067877197265625,2.011956787109375,2.78636474609375,2.20865478515625,2.87410888671875
2.0679931640625,2.0141845703125,2.787548828125,2.204595947265625,2.88055419921875
2.068768310546875,2.012091064453125,2.7859619140625,2.205255126953125,2.88095703125
2.071234130859375,2.015667724609375,2.78934326171875,2.212872314453125,2.8905517578125
2.0711669921875,2.017779541015625,2.79208984375,2.205755615234375,2.87991943359375
2.07012939453125,2.016851806640625,2.787158203125,2.20601806640625,2.880859375
2.068670654296875,2.0150146484375,2.78939208984375,2.20640869140625,2.87840576171875
2.06668701171875,2.010693359375,2.78572998046875,2.201806640625,2.875262451171875
2.064581298828125,2.008038330078125,2.779901123046875,2.197308349609375,2.875885009765625
2.063482666015625,2.007867431640625,2.77681884765625,2.199169921875,2.87535400390625
2.064678955078125,2.00699462890625,2.7810546875,2.206610107421875,2.86668701171875
2.066351318359375,2.010467529296875,2.7812744140625,2.198931884765625,2.875262451171875
2.067572021484375,2.009906005859375,2.789288330078125,2.206280517578125,2.871563720703125
2.070184326171875,2.01412353515625,2.7917236328125,2.206842041015625,2.879022216796875
2.071856689453125,2.015032958984375,2.7939453125,2.2086669921875,2.874932861328125
2.073614501953125,2.01962890625,2.795318603515625,2.212225341796875,2.880218505859375
2.07412109375,2.014459228515625,2.80223388671875,2.212982177734375,2.880682373046875
2.076190185546875,2.017767333984375,2.79979248046875,2.21163330078125,2.885797119140625
2.079913330078125,2.0202880859375,2.809588623046875,2.21790771484375,2.8855224609375
2.083660888671875,2.023541259765625,2.8122802734375,2.218353271484375,2.887335205078125
2.083477783203125,2.021600341796875,2.81251220703125,2.22235107421875,2.88792724609375
2.0821533203125,2.023480224609375,2.808935546875,2.21947021484375,2.88184814453125
2.080108642578125,2.018145751953125,2.802386474609375,2.216259765625,2.88555908203125
2.07891845703125,2.01910400390625,2.800421142578125,2.213665771484375,2.879498291015625
2.07657470703125,2.01572265625,2.803173828125,2.213922119140625,2.879443359375
2.073614501953125,2.014947509765625,2.798883056640625,2.21097412109375,2.868603515625
2.07119140625,2.0164794921875,2.790576171875,2.210595703125,2.875592041015625
2.0716796875,2.012762451171875,2.79185791015625,2.209100341796875,2.874517822265625
2.0716552734375,2.01422119140625,2.795428466796875,2.211517333984375,2.8805419921875
2.069952392578125,2.010821533203125,2.789398193359375,2.212744140625,2.874090576171875
2.068280029296875,2.010052490234375,2.789825439453125,2.20618896484375,2.872210693359375
2.067803955078125,2.00643310546875,2.78907470703125,2.2043701171875,2.86829833984375
2.067510986328125,2.013702392578125,2.78681640625,2.202166748046875,2.876763916015625
2.06688232421875,2.0065185546875,2.788275146484375,2.205621337890625,2.86856689453125
2.065570068359375,2.007830810546875,2.782952880859375,2.2049560546875,2.86702880859375
2.065496826171875,2.00537109375,2.782763671875,2.2108642578125,2.86431884765625
2.06622314453125,2.006658935546875,2.78487548828125,2.204803466796875,2.868768310546875
2.06595458984375,2.003033447265625,2.782769775390625,2.204510498046875,2.869378662109375
2.065081787109375,2.006378173828125,2.783203125,2.2084716796875,2.863671875
2.06492919921875,2.004010009765625,2.783447265625,2.204083251953125,2.86402587890625
2.065203857421875,2.00858154296875,2.783319091796875,2.198785400390625,2.870892333984375
2.06767578125,2.009381103515625,2.78468017578125,2.210882568359375,2.87529296875
2.069635009765625,2.0089111328125,2.788092041015625,2.2142822265625,2.87506103515625
2.06920166015625,2.0127197265625,2.785760498046875,2.210125732421875,2.87535400390625
2.07098388671875,2.014404296875,2.793634033203125,2.2140380859375,2.8659912109375
2.069573974609375,2.010552978515625,2.791314697265625,2.20782470703125,2.866741943359375
