counts,AZ_bottom V,AZ_top V,AY V,AX V,cooling PD V
45.0,0.98,-3.21,0.05499999999999999,-0.16,0.00885009765625
41.0,0.98,-3.21,0.05499999999999999,-0.20625000000000002,0.00885009765625
43.0,0.98,-3.21,0.05499999999999999,-0.2525,0.01068115234375
33.0,0.98,-3.21,0.05499999999999999,-0.29875,0.00885009765625
32.0,0.98,-3.21,0.05499999999999999,-0.345,0.00762939453125
56.0,0.98,-3.21,0.05499999999999999,-0.39125000000000004,0.009765625
38.0,0.98,-3.21,0.05499999999999999,-0.4375,0.0103759765625
46.0,0.98,-3.21,0.05499999999999999,-0.48375,0.008544921875
55.0,0.98,-3.21,0.05499999999999999,-0.53,0.0091552734375
49.0,0.98,-3.21,0.05499999999999999,-0.57625,0.01068115234375
59.0,0.98,-3.21,0.05499999999999999,-0.6225,0.01007080078125
59.0,0.98,-3.21,0.05499999999999999,-0.66875,0.009765625
50.0,0.98,-3.21,0.05499999999999999,-0.715,0.0091552734375
44.0,0.98,-3.21,0.05499999999999999,-0.7612500000000001,0.0091552734375
54.0,0.98,-3.21,0.05499999999999999,-0.8075000000000001,0.009765625
45.0,0.98,-3.21,0.05499999999999999,-0.8537499999999999,0.0079345703125
38.0,0.98,-3.21,0.007499999999999979,0.025,0.009765625
28.0,0.98,-3.21,0.007499999999999979,-0.021249999999999998,0.01068115234375
34.0,0.98,-3.21,0.007499999999999979,-0.0675,0.01007080078125
34.0,0.98,-3.21,0.007499999999999979,-0.11375000000000002,0.0030517578125
37.0,0.98,-3.21,0.007499999999999979,-0.16,0.0079345703125
49.0,0.98,-3.21,0.007499999999999979,-0.20625000000000002,0.01068115234375
45.0,0.98,-3.21,0.007499999999999979,-0.2525,0.0079345703125
68.0,0.98,-3.21,0.007499999999999979,-0.29875,0.00457763671875
40.0,0.98,-3.21,0.007499999999999979,-0.345,0.00823974609375
36.0,0.98,-3.21,0.007499999999999979,-0.39125000000000004,0.009765625
33.0,0.98,-3.21,0.007499999999999979,-0.4375,0.00762939453125
50.0,0.98,-3.21,0.007499999999999979,-0.48375,0.00518798828125
33.0,0.98,-3.21,0.007499999999999979,-0.53,0.0091552734375
34.0,0.98,-3.21,0.007499999999999979,-0.57625,0.0115966796875
44.0,0.98,-3.21,0.007499999999999979,-0.6225,0.0079345703125
41.0,0.98,-3.21,0.007499999999999979,-0.66875,0.0042724609375
34.0,0.98,-3.21,0.007499999999999979,-0.715,0.00823974609375
50.0,0.98,-3.21,0.007499999999999979,-0.7612500000000001,0.01068115234375
47.0,0.98,-3.21,0.007499999999999979,-0.8075000000000001,0.0079345703125
51.0,0.98,-3.21,0.007499999999999979,-0.8537499999999999,0.006103515625
42.0,0.98,-3.21,-0.04000000000000001,0.025,0.0067138671875
28.0,0.98,-3.21,-0.04000000000000001,-0.021249999999999998,0.01129150390625
48.0,0.98,-3.21,-0.04000000000000001,-0.0675,0.00701904296875
42.0,0.98,-3.21,-0.04000000000000001,-0.11375000000000002,0.0048828125
35.0,0.98,-3.21,-0.04000000000000001,-0.16,0.00885009765625
48.0,0.98,-3.21,-0.04000000000000001,-0.20625000000000002,0.0079345703125
36.0,0.98,-3.21,-0.04000000000000001,-0.2525,0.0079345703125
39.0,0.98,-3.21,-0.04000000000000001,-0.29875,0.0067138671875
34.0,0.98,-3.21,-0.04000000000000001,-0.345,0.00885009765625
41.0,0.98,-3.21,-0.04000000000000001,-0.39125000000000004,0.00732421875
41.0,0.98,-3.21,-0.04000000000000001,-0.4375,0.00885009765625
39.0,0.98,-3.21,-0.04000000000000001,-0.48375,0.0091552734375
33.0,0.98,-3.21,-0.04000000000000001,-0.53,0.00762939453125
37.0,0.98,-3.21,-0.04000000000000001,-0.57625,0.006103515625
35.0,0.98,-3.21,-0.04000000000000001,-0.6225,0.00823974609375
30.0,0.98,-3.21,-0.04000000000000001,-0.66875,0.00823974609375
32.0,0.98,-3.21,-0.04000000000000001,-0.715,0.00640869140625
53.0,0.98,-3.21,-0.04000000000000001,-0.7612500000000001,0.00762939453125
42.0,0.98,-3.21,-0.04000000000000001,-0.8075000000000001,0.00762939453125
47.0,0.98,-3.21,-0.04000000000000001,-0.8537499999999999,0.008544921875
36.0,0.98,-3.21,-0.0875,0.025,0.0054931640625
35.0,0.98,-3.21,-0.0875,-0.021249999999999998,0.00762939453125
46.0,0.98,-3.21,-0.0875,-0.0675,0.008544921875
46.0,0.98,-3.21,-0.0875,-0.11375000000000002,0.0067138671875
39.0,0.98,-3.21,-0.0875,-0.16,0.0048828125
46.0,0.98,-3.21,-0.0875,-0.20625000000000002,0.0079345703125
