counts,AZ_bottom V,AZ_top V,AY V,AX V,cooling PD V
125.0,0.882,-2.882,0.15,0.025,0.048828125
109.0,0.882,-2.882,0.15,-0.021249999999999998,0.04638671875
113.0,0.882,-2.882,0.15,-0.0675,0.047607421875
112.0,0.882,-2.882,0.15,-0.11375000000000002,0.04638671875
103.0,0.882,-2.882,0.15,-0.16,0.04669189453125
120.0,0.882,-2.882,0.15,-0.20625000000000002,0.04638671875
92.0,0.882,-2.882,0.15,-0.2525,0.0457763671875
114.0,0.882,-2.882,0.15,-0.29875,0.04486083984375
100.0,0.882,-2.882,0.15,-0.345,0.0457763671875
105.0,0.882,-2.882,0.15,-0.39125000000000004,0.04547119140625
101.0,0.882,-2.882,0.15,-0.4375,0.0439453125
101.0,0.882,-2.882,0.15,-0.48375,0.04425048828125
125.0,0.882,-2.882,0.15,-0.53,0.0439453125
113.0,0.882,-2.882,0.15,-0.57625,0.04547119140625
85.0,0.882,-2.882,0.15,-0.6225,0.04425048828125
119.0,0.882,-2.882,0.15,-0.66875,0.04486083984375
131.0,0.882,-2.882,0.15,-0.715,0.0433349609375
95.0,0.882,-2.882,0.15,-0.7612500000000001,0.0439453125
127.0,0.882,-2.882,0.15,-0.8075000000000001,0.04486083984375
72.0,0.882,-2.882,0.15,-0.8537499999999999,0.0445556640625
104.0,0.882,-2.882,0.1025,0.025,0.0439453125
150.0,0.882,-2.882,0.1025,-0.021249999999999998,0.04302978515625
94.0,0.882,-2.882,0.1025,-0.0675,0.0433349609375
116.0,0.882,-2.882,0.1025,-0.11375000000000002,0.0445556640625
101.0,0.882,-2.882,0.1025,-0.16,0.04302978515625
85.0,0.882,-2.882,0.1025,-0.20625000000000002,0.04486083984375
102.0,0.882,-2.882,0.1025,-0.2525,0.0439453125
117.0,0.882,-2.882,0.1025,-0.29875,0.0433349609375
109.0,0.882,-2.882,0.1025,-0.345,0.0445556640625
95.0,0.882,-2.882,0.1025,-0.39125000000000004,0.0421142578125
