counts,AZ_bottom V,AZ_top V,AY V,AX V,cooling PD V
0.0,0.6,-1.5,0.15,0.025,0.01068115234375
0.0,0.6,-1.5,0.15,-0.021249999999999998,0.0128173828125
0.0,0.6,-1.5,0.15,-0.0675,0.01068115234375
0.0,0.6,-1.5,0.1025,0.025,0.009765625
0.0,0.6,-1.5,0.1025,-0.021249999999999998,0.01312255859375
0.0,0.6,-1.5,0.1025,-0.0675,0.0103759765625
0.0,0.6,-1.5,0.05499999999999999,0.025,0.00762939453125
0.0,0.6,-1.5,0.05499999999999999,-0.021249999999999998,0.0103759765625
0.0,0.6,-1.5,0.05499999999999999,-0.0675,0.010986328125
0.0,0.62,-1.5,0.15,0.025,0.00946044921875
0.0,0.62,-1.5,0.15,-0.021249999999999998,0.0103759765625
0.0,0.62,-1.5,0.15,-0.0675,0.013427734375
0.0,0.62,-1.5,0.1025,0.025,0.010986328125
0.0,0.62,-1.5,0.1025,-0.021249999999999998,0.00762939453125
0.0,0.62,-1.5,0.1025,-0.0675,0.009765625
0.0,0.62,-1.5,0.05499999999999999,0.025,0.0103759765625
0.0,0.62,-1.5,0.05499999999999999,-0.021249999999999998,0.0091552734375
0.0,0.62,-1.5,0.05499999999999999,-0.0675,0.01007080078125
0.0,0.64,-1.5,0.15,0.025,0.01312255859375
0.0,0.64,-1.5,0.15,-0.021249999999999998,0.01129150390625
0.0,0.64,-1.5,0.15,-0.0675,0.00885009765625
0.0,0.64,-1.5,0.1025,0.025,0.01068115234375
0.0,0.64,-1.5,0.1025,-0.021249999999999998,0.01068115234375
0.0,0.64,-1.5,0.1025,-0.0675,0.008544921875
0.0,0.64,-1.5,0.05499999999999999,0.025,0.009765625
0.0,0.64,-1.5,0.05499999999999999,-0.021249999999999998,0.01434326171875
0.0,0.64,-1.5,0.05499999999999999,-0.0675,0.01007080078125
0.0,0.6,-1.59,0.15,0.025,0.010986328125
0.0,0.6,-1.59,0.15,-0.021249999999999998,0.0079345703125
0.0,0.6,-1.59,0.15,-0.0675,0.01007080078125
0.0,0.6,-1.59,0.1025,0.025,0.00640869140625
0.0,0.6,-1.59,0.1025,-0.021249999999999998,0.008544921875
0.0,0.6,-1.59,0.1025,-0.0675,0.00732421875
0.0,0.6,-1.59,0.05499999999999999,0.025,0.00640869140625
0.0,0.6,-1.59,0.05499999999999999,-0.021249999999999998,0.00732421875
0.0,0.6,-1.59,0.05499999999999999,-0.0675,0.009765625
0.0,0.62,-1.59,0.15,0.025,0.008544921875
0.0,0.62,-1.59,0.15,-0.021249999999999998,0.00579833984375
0.0,0.62,-1.59,0.15,-0.0675,0.00823974609375
0.0,0.62,-1.59,0.1025,0.025,0.00946044921875
0.0,0.62,-1.59,0.1025,-0.021249999999999998,0.0054931640625
0.0,0.62,-1.59,0.1025,-0.0675,0.00732421875
0.0,0.62,-1.59,0.05499999999999999,0.025,0.0103759765625
0.0,0.62,-1.59,0.05499999999999999,-0.021249999999999998,0.00762939453125
0.0,0.62,-1.59,0.05499999999999999,-0.0675,0.00579833984375
0.0,0.64,-1.59,0.15,0.025,0.008544921875
0.0,0.64,-1.59,0.15,-0.021249999999999998,0.008544921875
0.0,0.64,-1.59,0.15,-0.0675,0.00579833984375
0.0,0.64,-1.59,0.1025,0.025,0.00823974609375
0.0,0.64,-1.59,0.1025,-0.021249999999999998,0.0091552734375
0.0,0.64,-1.59,0.1025,-0.0675,0.00885009765625
0.0,0.64,-1.59,0.05499999999999999,0.025,0.0048828125
0.0,0.64,-1.59,0.05499999999999999,-0.021249999999999998,0.00885009765625
0.0,0.64,-1.59,0.05499999999999999,-0.0675,0.0091552734375
0.0,0.6,-1.68,0.15,0.025,0.0079345703125
0.0,0.6,-1.68,0.15,-0.021249999999999998,0.00640869140625
0.0,0.6,-1.68,0.15,-0.0675,0.00762939453125
0.0,0.6,-1.68,0.1025,0.025,0.01007080078125
0.0,0.6,-1.68,0.1025,-0.021249999999999998,0.0067138671875
0.0,0.6,-1.68,0.1025,-0.0675,0.00457763671875
0.0,0.6,-1.68,0.05499999999999999,0.025,0.00732421875
0.0,0.6,-1.68,0.05499999999999999,-0.021249999999999998,0.00335693359375
0.0,0.6,-1.68,0.05499999999999999,-0.0675,0.006103515625
0.0,0.62,-1.68,0.15,0.025,0.01068115234375
0.0,0.62,-1.68,0.15,-0.021249999999999998,0.006103515625
0.0,0.62,-1.68,0.15,-0.0675,0.008544921875
0.0,0.62,-1.68,0.1025,0.025,0.0067138671875
0.0,0.62,-1.68,0.1025,-0.021249999999999998,0.0067138671875
0.0,0.62,-1.68,0.1025,-0.0675,0.0048828125
0.0,0.62,-1.68,0.05499999999999999,0.025,0.00701904296875
0.0,0.62,-1.68,0.05499999999999999,-0.021249999999999998,0.00946044921875
0.0,0.62,-1.68,0.05499999999999999,-0.0675,0.0067138671875
0.0,0.64,-1.68,0.15,0.025,0.003662109375
0.0,0.64,-1.68,0.15,-0.021249999999999998,0.0067138671875
0.0,0.64,-1.68,0.15,-0.0675,0.006103515625
0.0,0.64,-1.68,0.1025,0.025,0.0067138671875
0.0,0.64,-1.68,0.1025,-0.021249999999999998,0.00640869140625
0.0,0.64,-1.68,0.1025,-0.0675,0.00732421875
0.0,0.64,-1.68,0.05499999999999999,0.025,0.0067138671875
0.0,0.64,-1.68,0.05499999999999999,-0.021249999999999998,0.00457763671875
0.0,0.64,-1.68,0.05499999999999999,-0.0675,0.00762939453125
