x0000,y0000
401.,4680.
402.,4530.
403.,4593.3333333333
404.,5053.3333333333
405.,4903.3333333333
406.,4786.6666666667
407.,4833.3333333333
408.,4766.6666666667
409.,4573.3333333333
410.,4536.6666666667
411.,4996.6666666667
412.,4896.6666666667
413.,4806.6666666667
414.,4826.6666666667
415.,4873.3333333333
416.,4670.
417.,4936.6666666667
418.,4743.3333333333
419.,4620.
420.,4643.3333333333
421.,4516.6666666667
422.,4780.
423.,4456.6666666667
424.,4383.3333333333
425.,4940.
426.,4513.3333333333
427.,4820.
428.,4510.
429.,4726.6666666667
430.,4813.3333333333
431.,4733.3333333333
432.,4596.6666666667
433.,4960.
434.,4843.3333333333
435.,4920.
436.,4633.3333333333
437.,4826.6666666667
438.,4810.
439.,4660.
440.,5000.
441.,4813.3333333333
442.,4713.3333333333
443.,4680.
444.,4770.
445.,4933.3333333333
446.,4383.3333333333
447.,4826.6666666667
448.,4716.6666666667
449.,5013.3333333333
450.,4950.
451.,4856.6666666667
452.,4476.6666666667
453.,4643.3333333333
454.,4570.
455.,4666.6666666667
456.,4516.6666666667
457.,4803.3333333333
458.,4920.
459.,5033.3333333333
460.,4900.
461.,5586.6666666667
462.,5620.
463.,5413.3333333333
464.,5780.
465.,5780.
466.,5730.
467.,5886.6666666667
468.,5686.6666666667
469.,5773.3333333333
470.,6053.3333333333
471.,5906.6666666667
472.,6216.6666666667
473.,6400.
474.,6666.6666666667
475.,6416.6666666667
476.,6353.3333333333
477.,6573.3333333333
478.,6400.
479.,6773.3333333333
480.,6656.6666666667
481.,6553.3333333333
482.,6483.3333333333
483.,6800.
484.,6623.3333333333
485.,6600.
486.,6700.
487.,6906.6666666667
488.,6593.3333333333
489.,6690.
490.,6800.
491.,7116.6666666667
492.,6753.3333333333
493.,6753.3333333333
494.,6806.6666666667
495.,6816.6666666667
496.,6956.6666666667
497.,6550.
498.,6380.
499.,6670.
500.,6430.
501.,6926.6666666667
502.,6450.
503.,6820.
504.,6920.
505.,6673.3333333333
506.,6640.
507.,7030.
508.,6826.6666666667
509.,6626.6666666667
510.,6656.6666666667
511.,6670.
512.,6723.3333333333
513.,6833.3333333333
514.,6756.6666666667
515.,6666.6666666667
516.,6596.6666666667
517.,6436.6666666667
518.,6316.6666666667
519.,6553.3333333333
520.,6616.6666666667
521.,6430.
522.,6806.6666666667
523.,6380.
524.,6723.3333333333
525.,5953.3333333333
526.,6260.
527.,6290.
528.,6683.3333333333
529.,6736.6666666667
530.,6313.3333333333
531.,6663.3333333333
532.,6623.3333333333
533.,6466.6666666667
534.,6996.6666666667
535.,6923.3333333333
536.,6603.3333333333
537.,6986.6666666667
538.,6756.6666666667
539.,6710.
540.,6753.3333333333
541.,6933.3333333333
542.,6973.3333333333
543.,6660.
544.,6920.
545.,7006.6666666667
546.,6813.3333333333
547.,7036.6666666667
548.,7220.
549.,7426.6666666667
550.,7250.
551.,7276.6666666667
552.,7446.6666666667
553.,7393.3333333333
554.,7296.6666666667
555.,7506.6666666667
556.,7613.3333333333
557.,7120.
558.,7400.
559.,8056.6666666667
560.,7646.6666666667
561.,7566.6666666667
562.,7393.3333333333
563.,7470.
564.,7836.6666666667
565.,7910.
566.,7833.3333333333
567.,7843.3333333333
568.,7733.3333333333
569.,7823.3333333333
570.,7490.
571.,7563.3333333333
572.,7800.
573.,7916.6666666667
574.,7270.
575.,7413.3333333333
576.,7400.
577.,7260.
578.,7723.3333333333
579.,7386.6666666667
580.,7606.6666666667
581.,7546.6666666667
582.,7310.
583.,7480.
584.,7523.3333333333
585.,7683.3333333333
586.,7650.
587.,7583.3333333333
588.,7790.
589.,7583.3333333333
590.,7820.
591.,7700.
592.,7713.3333333333
593.,7900.
594.,7626.6666666667
595.,7823.3333333333
596.,7756.6666666667
597.,7543.3333333333
598.,7946.6666666667
599.,7926.6666666667
600.,7943.3333333333
601.,7603.3333333333
602.,7923.3333333333
603.,7850.
604.,7573.3333333333
605.,6113.3333333333
606.,6370.
607.,6373.3333333333
608.,6856.6666666667
609.,6740.
610.,7060.
611.,6963.3333333333
612.,7130.
613.,7330.
614.,7243.3333333333
615.,7183.3333333333
616.,7430.
617.,7426.6666666667
618.,7736.6666666667
619.,7946.6666666667
620.,7423.3333333333
621.,7173.3333333333
622.,6980.
623.,7146.6666666667
624.,7410.
625.,7303.3333333333
626.,7220.
627.,7070.
628.,7253.3333333333
629.,6806.6666666667
630.,7400.
631.,7176.6666666667
632.,6823.3333333333
633.,7363.3333333333
634.,7013.3333333333
635.,7133.3333333333
636.,6693.3333333333
637.,6646.6666666667
638.,6970.
639.,6633.3333333333
640.,6983.3333333333
641.,7010.
642.,6683.3333333333
643.,7040.
644.,6883.3333333333
645.,7200.
646.,6713.3333333333
647.,7060.
648.,7430.
649.,7340.
650.,7483.3333333333
651.,7210.
652.,7426.6666666667
653.,7330.
654.,6973.3333333333
655.,7166.6666666667
656.,6800.
657.,6916.6666666667
658.,7080.
659.,7343.3333333333
660.,6950.
661.,7133.3333333333
662.,7136.6666666667
663.,7013.3333333333
664.,6836.6666666667
665.,7113.3333333333
666.,7406.6666666667
667.,6723.3333333333
668.,7086.6666666667
669.,6880.
670.,6696.6666666667
671.,7203.3333333333
672.,7406.6666666667
673.,7083.3333333333
674.,7223.3333333333
675.,7183.3333333333
676.,7550.
677.,7153.3333333333
678.,7203.3333333333
679.,7386.6666666667
680.,7350.
681.,7716.6666666667
682.,7180.
683.,7260.
684.,7570.
685.,7796.6666666667
686.,7520.
687.,7403.3333333333
688.,7450.
689.,7303.3333333333
690.,7406.6666666667
691.,7236.6666666667
692.,7410.
693.,7130.
694.,7386.6666666667
695.,7076.6666666667
696.,7140.
697.,7076.6666666667
698.,7393.3333333333
699.,7273.3333333333
700.,6956.6666666667
701.,7373.3333333333
702.,7263.3333333333
703.,7100.
704.,6926.6666666667
705.,7433.3333333333
706.,7586.6666666667
707.,7506.6666666667
708.,7260.
709.,7216.6666666667
710.,7246.6666666667
711.,7123.3333333333
712.,7303.3333333333
713.,7213.3333333333
714.,6953.3333333333
715.,7003.3333333333
716.,6943.3333333333
717.,7053.3333333333
718.,7240.
719.,7186.6666666667
720.,7323.3333333333
721.,7073.3333333333
722.,7393.3333333333
723.,7026.6666666667
724.,7183.3333333333
725.,7066.6666666667
726.,7150.
727.,6823.3333333333
728.,6956.6666666667
729.,7060.
730.,6643.3333333333
731.,6656.6666666667
732.,6526.6666666667
733.,6646.6666666667
734.,6840.
735.,6583.3333333333
736.,6576.6666666667
737.,6606.6666666667
738.,6543.3333333333
739.,6580.
740.,6553.3333333333
741.,6736.6666666667
742.,6680.
743.,6846.6666666667
744.,7070.
745.,6380.
746.,6540.
747.,6440.
748.,6480.
749.,6606.6666666667
750.,6496.6666666667
751.,6746.6666666667
752.,6613.3333333333
753.,6676.6666666667
754.,6603.3333333333
755.,6496.6666666667
756.,6760.
757.,6646.6666666667
758.,6973.3333333333
759.,6800.
760.,6670.
761.,6546.6666666667
762.,6616.6666666667
763.,6613.3333333333
764.,6626.6666666667
765.,6483.3333333333
766.,6643.3333333333
767.,6416.6666666667
768.,6453.3333333333
769.,6353.3333333333
770.,6513.3333333333
771.,6650.
772.,6610.
773.,6286.6666666667
774.,6420.
775.,6736.6666666667
776.,6516.6666666667
777.,6433.3333333333
778.,6573.3333333333
779.,6576.6666666667
780.,6663.3333333333
781.,6203.3333333333
782.,6410.
783.,6533.3333333333
784.,6383.3333333333
785.,6353.3333333333
786.,6956.6666666667
787.,6410.
788.,6683.3333333333
789.,6643.3333333333
790.,6310.
791.,6306.6666666667
792.,6583.3333333333
793.,6823.3333333333
794.,6696.6666666667
795.,6570.
796.,6546.6666666667
797.,6613.3333333333
798.,7000.
799.,6623.3333333333
800.,6463.3333333333
801.,6990.
802.,6513.3333333333
803.,6733.3333333333
804.,6660.
805.,4833.3333333333
806.,5126.6666666667
807.,5476.6666666667
808.,5676.6666666667
809.,6110.
810.,6053.3333333333
811.,6180.
812.,6356.6666666667
813.,6120.
814.,6216.6666666667
815.,6473.3333333333
816.,6243.3333333333
