counts,AZ_bottom V,AZ_top V,AY V,AX V,cooling PD V
992.0,6.0,6.0,-0.8,-0.8,-0.01373291015625
928.0,6.0,6.0,-0.8,-0.64,-0.01373291015625
958.0,6.0,6.0,-0.8,-0.48000000000000004,-0.0140380859375
947.0,6.0,6.0,-0.8,-0.32000000000000006,-0.01312255859375
889.0,6.0,6.0,-0.8,-0.16000000000000003,-0.01312255859375
946.0,6.0,6.0,-0.8,0.0,-0.01373291015625
988.0,6.0,6.0,-0.8,0.15999999999999992,-0.013427734375
870.0,6.0,6.0,-0.8,0.32000000000000006,-0.0140380859375
988.0,6.0,6.0,-0.8,0.48,-0.01251220703125
927.0,6.0,6.0,-0.8,0.6399999999999999,-0.01190185546875
924.0,6.0,6.0,-0.8,0.8,-0.0140380859375
976.0,6.0,6.0,-0.64,-0.8,-0.01251220703125
987.0,6.0,6.0,-0.64,-0.64,-0.01434326171875
970.0,6.0,6.0,-0.64,-0.48000000000000004,-0.0140380859375
975.0,6.0,6.0,-0.64,-0.32000000000000006,-0.01434326171875
951.0,6.0,6.0,-0.64,-0.16000000000000003,-0.0140380859375
1009.0,6.0,6.0,-0.64,0.0,-0.01312255859375
935.0,6.0,6.0,-0.64,0.15999999999999992,-0.0140380859375
1029.0,6.0,6.0,-0.64,0.32000000000000006,-0.0152587890625
976.0,6.0,6.0,-0.64,0.48,-0.0140380859375
1023.0,6.0,6.0,-0.64,0.6399999999999999,-0.01373291015625
918.0,6.0,6.0,-0.64,0.8,-0.01251220703125
941.0,6.0,6.0,-0.48000000000000004,-0.8,-0.0128173828125
982.0,6.0,6.0,-0.48000000000000004,-0.64,-0.013427734375
987.0,6.0,6.0,-0.48000000000000004,-0.48000000000000004,-0.01373291015625
1062.0,6.0,6.0,-0.48000000000000004,-0.32000000000000006,-0.01495361328125
1005.0,6.0,6.0,-0.48000000000000004,-0.16000000000000003,-0.0140380859375
1002.0,6.0,6.0,-0.48000000000000004,0.0,-0.0140380859375
930.0,6.0,6.0,-0.48000000000000004,0.15999999999999992,-0.01373291015625
1029.0,6.0,6.0,-0.48000000000000004,0.32000000000000006,-0.0140380859375
1022.0,6.0,6.0,-0.48000000000000004,0.48,-0.01312255859375
1014.0,6.0,6.0,-0.48000000000000004,0.6399999999999999,-0.01251220703125
1030.0,6.0,6.0,-0.48000000000000004,0.8,-0.013427734375
1054.0,6.0,6.0,-0.32000000000000006,-0.8,-0.01373291015625
1025.0,6.0,6.0,-0.32000000000000006,-0.64,-0.01312255859375
1059.0,6.0,6.0,-0.32000000000000006,-0.48000000000000004,-0.0146484375
1054.0,6.0,6.0,-0.32000000000000006,-0.32000000000000006,-0.0146484375
1052.0,6.0,6.0,-0.32000000000000006,-0.16000000000000003,-0.01434326171875
1054.0,6.0,6.0,-0.32000000000000006,0.0,-0.01434326171875
1070.0,6.0,6.0,-0.32000000000000006,0.15999999999999992,-0.013427734375
1068.0,6.0,6.0,-0.32000000000000006,0.32000000000000006,-0.01312255859375
1074.0,6.0,6.0,-0.32000000000000006,0.48,-0.0140380859375
1063.0,6.0,6.0,-0.32000000000000006,0.6399999999999999,-0.013427734375
1087.0,6.0,6.0,-0.32000000000000006,0.8,-0.0128173828125
1111.0,6.0,6.0,-0.16000000000000003,-0.8,-0.01495361328125
1096.0,6.0,6.0,-0.16000000000000003,-0.64,-0.013427734375
1048.0,6.0,6.0,-0.16000000000000003,-0.48000000000000004,-0.01220703125
1118.0,6.0,6.0,-0.16000000000000003,-0.32000000000000006,-0.0140380859375
1071.0,6.0,6.0,-0.16000000000000003,-0.16000000000000003,-0.0140380859375
1080.0,6.0,6.0,-0.16000000000000003,0.0,-0.0140380859375
1108.0,6.0,6.0,-0.16000000000000003,0.15999999999999992,-0.01373291015625
1047.0,6.0,6.0,-0.16000000000000003,0.32000000000000006,-0.0140380859375
1048.0,6.0,6.0,-0.16000000000000003,0.48,-0.01220703125
1079.0,6.0,6.0,-0.16000000000000003,0.6399999999999999,-0.01220703125
1126.0,6.0,6.0,-0.16000000000000003,0.8,-0.01434326171875
1063.0,6.0,6.0,0.0,-0.8,-0.0146484375
1096.0,6.0,6.0,0.0,-0.64,-0.01434326171875
1122.0,6.0,6.0,0.0,-0.48000000000000004,-0.0146484375
1084.0,6.0,6.0,0.0,-0.32000000000000006,-0.013427734375
1082.0,6.0,6.0,0.0,-0.16000000000000003,-0.01312255859375
1064.0,6.0,6.0,0.0,0.0,-0.0128173828125
1068.0,6.0,6.0,0.0,0.15999999999999992,-0.01373291015625
1123.0,6.0,6.0,0.0,0.32000000000000006,-0.01312255859375
1097.0,6.0,6.0,0.0,0.48,-0.01312255859375
1090.0,6.0,6.0,0.0,0.6399999999999999,-0.01373291015625
1102.0,6.0,6.0,0.0,0.8,-0.01312255859375
1141.0,6.0,6.0,0.15999999999999992,-0.8,-0.0146484375
1074.0,6.0,6.0,0.15999999999999992,-0.64,-0.01495361328125
1124.0,6.0,6.0,0.15999999999999992,-0.48000000000000004,-0.0146484375
1050.0,6.0,6.0,0.15999999999999992,-0.32000000000000006,-0.01495361328125
1143.0,6.0,6.0,0.15999999999999992,-0.16000000000000003,-0.01220703125
1053.0,6.0,6.0,0.15999999999999992,0.0,-0.01312255859375
1079.0,6.0,6.0,0.15999999999999992,0.15999999999999992,-0.01312255859375
1115.0,6.0,6.0,0.15999999999999992,0.32000000000000006,-0.01312255859375
1072.0,6.0,6.0,0.15999999999999992,0.48,-0.0128173828125
1146.0,6.0,6.0,0.15999999999999992,0.6399999999999999,-0.01373291015625
1079.0,6.0,6.0,0.15999999999999992,0.8,-0.01251220703125
1093.0,6.0,6.0,0.32000000000000006,-0.8,-0.01312255859375
1162.0,6.0,6.0,0.32000000000000006,-0.64,-0.0140380859375
1092.0,6.0,6.0,0.32000000000000006,-0.48000000000000004,-0.01220703125
1121.0,6.0,6.0,0.32000000000000006,-0.32000000000000006,-0.01373291015625
1123.0,6.0,6.0,0.32000000000000006,-0.16000000000000003,-0.0146484375
1125.0,6.0,6.0,0.32000000000000006,0.0,-0.01373291015625
1134.0,6.0,6.0,0.32000000000000006,0.15999999999999992,-0.013427734375
1079.0,6.0,6.0,0.32000000000000006,0.32000000000000006,-0.0140380859375
1063.0,6.0,6.0,0.32000000000000006,0.48,-0.01373291015625
1041.0,6.0,6.0,0.32000000000000006,0.6399999999999999,-0.01220703125
1062.0,6.0,6.0,0.32000000000000006,0.8,-0.01373291015625
1047.0,6.0,6.0,0.48,-0.8,-0.0146484375
1087.0,6.0,6.0,0.48,-0.64,-0.0140380859375
1085.0,6.0,6.0,0.48,-0.48000000000000004,-0.01373291015625
1068.0,6.0,6.0,0.48,-0.32000000000000006,-0.0146484375
1112.0,6.0,6.0,0.48,-0.16000000000000003,-0.0146484375
1127.0,6.0,6.0,0.48,0.0,-0.01312255859375
1049.0,6.0,6.0,0.48,0.15999999999999992,-0.01312255859375
1119.0,6.0,6.0,0.48,0.32000000000000006,-0.0140380859375
1038.0,6.0,6.0,0.48,0.48,-0.01312255859375
1121.0,6.0,6.0,0.48,0.6399999999999999,-0.01434326171875
1119.0,6.0,6.0,0.48,0.8,-0.01434326171875
1098.0,6.0,6.0,0.6399999999999999,-0.8,-0.01495361328125
1074.0,6.0,6.0,0.6399999999999999,-0.64,-0.01434326171875
1126.0,6.0,6.0,0.6399999999999999,-0.48000000000000004,-0.01495361328125
1154.0,6.0,6.0,0.6399999999999999,-0.32000000000000006,-0.0140380859375
1091.0,6.0,6.0,0.6399999999999999,-0.16000000000000003,-0.01312255859375
1028.0,6.0,6.0,0.6399999999999999,0.0,-0.01434326171875
1123.0,6.0,6.0,0.6399999999999999,0.15999999999999992,-0.0146484375
1130.0,6.0,6.0,0.6399999999999999,0.32000000000000006,-0.01220703125
1087.0,6.0,6.0,0.6399999999999999,0.48,-0.0140380859375
1145.0,6.0,6.0,0.6399999999999999,0.6399999999999999,-0.0140380859375
1104.0,6.0,6.0,0.6399999999999999,0.8,-0.01312255859375
1114.0,6.0,6.0,0.8,-0.8,-0.01434326171875
1069.0,6.0,6.0,0.8,-0.64,-0.01434326171875
1067.0,6.0,6.0,0.8,-0.48000000000000004,-0.0140380859375
1038.0,6.0,6.0,0.8,-0.32000000000000006,-0.01373291015625
1099.0,6.0,6.0,0.8,-0.16000000000000003,-0.015869140625
1054.0,6.0,6.0,0.8,0.0,-0.0140380859375
1073.0,6.0,6.0,0.8,0.15999999999999992,-0.01312255859375
1080.0,6.0,6.0,0.8,0.32000000000000006,-0.01220703125
1021.0,6.0,6.0,0.8,0.48,-0.01312255859375
1072.0,6.0,6.0,0.8,0.6399999999999999,-0.0128173828125
1044.0,6.0,6.0,0.8,0.8,-0.01373291015625
1000.0,6.105263157894737,6.0,-0.8,-0.8,-0.01190185546875
956.0,6.105263157894737,6.0,-0.8,-0.64,-0.01373291015625
936.0,6.105263157894737,6.0,-0.8,-0.48000000000000004,-0.0146484375
