x0000,y0000
279.,6413.3333333333
280.,6520.
281.,6580.
282.,6466.6666666667
283.,7146.6666666667
284.,6436.6666666667
285.,7056.6666666667
286.,6553.3333333333
287.,6590.
288.,6340.
289.,6576.6666666667
290.,6523.3333333333
291.,6263.3333333333
292.,6513.3333333333
293.,6193.3333333333
294.,6236.6666666667
295.,6390.
296.,6456.6666666667
297.,6713.3333333333
298.,6270.
299.,6750.
300.,6646.6666666667
301.,4940.
302.,4813.3333333333
303.,4966.6666666667
304.,5166.6666666667
305.,5403.3333333333
306.,5846.6666666667
307.,6093.3333333333
308.,6270.
309.,6453.3333333333
310.,6226.6666666667
311.,6156.6666666667
312.,6180.
313.,5736.6666666667
314.,6150.
315.,5786.6666666667
316.,6093.3333333333
317.,6063.3333333333
318.,6116.6666666667
319.,6256.6666666667
320.,6530.
321.,6216.6666666667
322.,6343.3333333333
323.,6596.6666666667
324.,6356.6666666667
325.,6093.3333333333
326.,6086.6666666667
327.,6266.6666666667
328.,6223.3333333333
329.,6186.6666666667
330.,6270.
331.,6156.6666666667
332.,6440.
333.,6553.3333333333
334.,6330.
335.,6643.3333333333
336.,6493.3333333333
337.,6933.3333333333
338.,6833.3333333333
339.,6950.
340.,6453.3333333333
341.,6386.6666666667
342.,6450.
343.,6510.
344.,6103.3333333333
345.,6546.6666666667
346.,6763.3333333333
347.,6770.
348.,6783.3333333333
349.,6746.6666666667
350.,6660.
351.,6626.6666666667
352.,6616.6666666667
353.,6390.
354.,6940.
355.,7016.6666666667
356.,7210.
357.,6940.
358.,6946.6666666667
359.,7070.
360.,6916.6666666667
361.,7203.3333333333
362.,7090.
363.,6826.6666666667
364.,6563.3333333333
365.,6716.6666666667
366.,6723.3333333333
367.,6356.6666666667
368.,6330.
369.,6506.6666666667
370.,5620.
371.,5910.
372.,6680.
373.,6976.6666666667
374.,6946.6666666667
375.,6736.6666666667
376.,7003.3333333333
377.,6623.3333333333
378.,6616.6666666667
379.,6030.
380.,6216.6666666667
381.,6426.6666666667
382.,6466.6666666667
383.,6870.
384.,6873.3333333333
385.,7033.3333333333
386.,6843.3333333333
387.,6986.6666666667
388.,6816.6666666667
389.,7206.6666666667
390.,6910.
391.,7080.
392.,7300.
393.,6850.
394.,7003.3333333333
395.,7130.
396.,7143.3333333333
397.,7166.6666666667
398.,6986.6666666667
399.,6850.
400.,6993.3333333333
401.,4970.
402.,5056.6666666667
403.,5643.3333333333
404.,5583.3333333333
405.,5896.6666666667
406.,6096.6666666667
407.,6283.3333333333
408.,6746.6666666667
409.,6680.
410.,6770.
411.,7053.3333333333
412.,6626.6666666667
413.,7050.
414.,6610.
415.,7163.3333333333
416.,7170.
417.,7473.3333333333
418.,7406.6666666667
419.,7520.
420.,7783.3333333333
421.,7520.
422.,7616.6666666667
423.,7340.
424.,7110.
425.,7253.3333333333
426.,7230.
427.,7230.
428.,6883.3333333333
429.,7213.3333333333
430.,7080.
431.,7770.
432.,7606.6666666667
433.,7456.6666666667
434.,7526.6666666667
435.,7486.6666666667
436.,7650.
437.,7620.
438.,7523.3333333333
439.,7490.
440.,7280.
441.,7370.
442.,7256.6666666667
443.,7340.
444.,7370.
445.,7060.
446.,7583.3333333333
447.,7446.6666666667
448.,7516.6666666667
449.,7303.3333333333
450.,7180.
451.,7373.3333333333
452.,7186.6666666667
453.,7613.3333333333
454.,7423.3333333333
